"","variety","winery","region_1","region_2","province","designation","country"
"315","Nebbiolo","Cavallotto","Barolo","","Piedmont","Vignolo Riserva","Italy"
"316","Furmint","Oremus","","","Tokaji","Eszencia","Hungary"
"317","Chardonnay","Rochioli","Russian River Valley","Sonoma","California","South River","US"
"318","Chardonnay","Louis Latour","Montrachet","","Burgundy","Le Montrachet","France"
"319","Shiraz","Jasper Hill","Heathcote","","Victoria","Georgia's Paddock","Australia"
"320","Pinot Noir","Château de la Tour","Clos de Vougeot","","Burgundy","Vieilles Vignes","France"
"321","Riesling","Weingut Hans Bausch","","","Rheingau","Hattenheimer Hassel Auslese","Germany"
"322","Chardonnay","Philippe Colin","Chassagne-Montrachet","","Burgundy","Les Chenevottes Premier Cru","France"
"323","Nebbiolo","Bel Colle","Barolo","","Piedmont","Simposio","Italy"
"324","Cabernet Sauvignon","J. Davies","Diamond Mountain District","Napa","California","Jamie","US"
"325","Pinot Noir","Winderlea","Dundee Hills","Willamette Valley","Oregon","Weber Vineyard","US"
"326","Shiraz","Wakefield","Clare Valley","","South Australia","St. Andrews Single Vineyard Release","Australia"
"327","Pinot Bianco","Cantina Terlano","Alto Adige","","Northeastern Italy","Vorberg","Italy"
"328","Garganega","Montresor","Bianco di Custoza","","Veneto","","Italy"
"329","Chardonnay","Ronco del Gelso","Friuli","","Northeastern Italy","","Italy"
"330","Cabernet Sauvignon","Sebastiani","Sonoma Valley","Sonoma","California","Cherryblock Vineyard","US"
"331","Sauvignon Blanc","Elena Walch","Alto Adige","","Northeastern Italy","Castel Ringberg","Italy"
"332","White Blend","Gini","Soave","","Veneto","Classico","Italy"
"333","Sauvignon Blanc","Borgo Conventi","Collio","","Northeastern Italy","I Fiori del Borgo","Italy"
"334","Sauvignon Blanc","Ceago Vinegarden","Mendocino County","","California","Kathleen's Vineyard","US"
"335","Sangiovese","Valiano","Toscana","","Tuscany","Vino in Musica","Italy"
"336","Pinot Grigio","Volpe Pasini","Colli Orientali del Friuli","","Northeastern Italy","Zuc de Volpe","Italy"
"337","White Blend","Zenato","","","Naoussa","Vigneto Massoni","Greece"
"338","Nebbiolo","L.A. Cetto","","","Valle de Guadalupe","Private Reserve","Mexico"
"339","White Blend","La Vis","Trentino","","Northeastern Italy","Bianco dei Sorni","Italy"
"340","Merlot","Lapostolle","","","Rapel Valley","Estate Bottled","Chile"
"341","White Blend","Fratelli Zeni","Bianco di Custoza","","Veneto","Vigne Alte","Italy"
"342","Cabernet Sauvignon","Carmen","","","Maipo Valley","Estate Grown Reserve","Chile"
"343","Chardonnay","Tommasi","Valdadige","","Veneto","Vigneto Santa Cecilia","Italy"
"344","Gewürztraminer","San Michele Eppan","Alto Adige","","Northeastern Italy","Sanct Valentin","Italy"
"345","Sauvignon Blanc","Vinoce","Rutherford","Napa","California","","US"
"346","Merlot","Merriam","Russian River Valley","Sonoma","California","Windacre Vineyard","US"
"347","Sauvignon Blanc","Murphy-Goode","Alexander Valley","Sonoma","California","Reserve Fume","US"
"348","Pinot Noir","Kynsi","Edna Valley","Central Coast","California","Paragon Vineyard","US"
"349","Cabernet Sauvignon","Casa Julia","","","Maipo Valley","Reserve","Chile"
"350","Chardonnay","Valdivieso","","","Central Valley","Reserve","Chile"
"351","Sauvignon Blanc","Bridlewood","Santa Ynez Valley","Central Coast","California","","US"
"352","Chardonnay","San Pedro","","","Lontué Valley","Castillo de Molina Reserva","Chile"
"353","Merlot","Undurraga","","","Maipo Valley","Reserva","Chile"
"354","White Blend","Conti Formentini","Collio","","Northeastern Italy","Rylint","Italy"
"355","Zinfandel","Cline","California","California Other","California","Ancient Vines","US"
"356","Prosecco","Astoria","Prosecco di Valdobbiadene","","Veneto","Extra Dry","Italy"
"357","Prosecco","Cantine Maschio","Italy","","Italy Other","Brut","Italy"
"358","Prosecco","Val d'Oca","Prosecco di Valdobbiadene","","Veneto","Millesimato Extra Dry","Italy"
"359","Red Blend","Vinavanti","California","California Other","California","Le Bon Viveur","US"
"360","Syrah","Vino V","Santa Barbara County","Central Coast","California","White Hawk Vineyard","US"
"361","Prosecco","Viticoltori Ponte","Prosecco del Veneto","","Veneto","Extra Dry","Italy"
"362","Prosecco","Le Vigne di Alice","Prosecco di Conegliano e Valdobbiadene","","Veneto","Millesimato Extra Dry","Italy"
"363","Gewürztraminer","McGregor","Finger Lakes","Finger Lakes","New York","Dry","US"
"364","Cabernet Franc","Miles","Finger Lakes","Finger Lakes","New York","","US"
"365","Cabernet Sauvignon","Morro Bay","California","California Other","California","Split Oak Vineyard","US"
"366","Prosecco","Pizzolato","Prosecco del Veneto","","Veneto","","Italy"
"367","Riesling","Red Newt Cellars","Finger Lakes","Finger Lakes","New York","","US"
"368","Prosecco","Ca'Tullio","Prosecco del Veneto","","Veneto","Extra Dry","Italy"
"369","Red Blend","Michlits","","","Burgenland","Biokult Zweigelt Pinot Noir","Austria"
"370","Bordeaux-style Red Blend","Château de Callac","Graves","","Bordeaux","","France"
"371","Bordeaux-style White Blend","Château de Marsan","Bordeaux Blanc","","Bordeaux","","France"
"372","Merlot","Guardian","Columbia Valley (WA)","Columbia Valley","Washington","Confidential Source","US"
"373","Grenache Blanc","Kerloo","Walla Walla Valley (WA)","Columbia Valley","Washington","Blue Mountain Vineyard","US"
"374","Grüner Veltliner","Kohl","","","Weinviertel","Kittl","Austria"
"375","White Blend","Las Positas","California","California Other","California","Verdigris","US"
"376","Rosé","Lieb","New York","New York Other","New York","Bridge Lane","US"
"377","Tempranillo","Luberri","Rioja","","Northern Spain","Seis","Spain"
"378","Sparkling Blend","Macari","North Fork of Long Island","Long Island","New York","Cuvée Gabriella Brut Rosé","US"
"379","Grüner Veltliner","Malat","","","Kremstal","Crazy Creatures","Austria"
"380","Syrah","Milbrandt","Wahluke Slope","Columbia Valley","Washington","The Estates Clifton Hill Vineyard","US"
"381","Sauvignon Blanc","Ojai","Santa Ynez Valley","Central Coast","California","McGinley Vineyard","US"
"382","Tempranillo","ONX","Templeton Gap District","Central Coast","California","Indie","US"
"383","Riesling","Pomum","Snipes Mountain","Columbia Valley","Washington","Upland Vineyard","US"
"384","Grenache Blanc","Prospect 772","Santa Barbara County","Central Coast","California","Stepping Stones","US"
"385","Nebbiolo","Revello Fratelli","Barolo","","Piedmont","Rocche dell'Annunziata","Italy"
"386","Zierfandler","Gebeshuber","","","Thermenregion","Lage Modler","Austria"
"387","Cortese","Tenuta La Marchesa","Gavi","","Piedmont","Gold Label","Italy"
"388","Bordeaux-style Red Blend","Trione","Alexander Valley","Sonoma","California","Henry's Blend","US"
"389","Mencía","Vinos de Arganza","Bierzo","","Northern Spain","Século","Spain"
"390","Cabernet Sauvignon","Walla Walla Vintners","Walla Walla Valley (WA)","Columbia Valley","Washington","","US"
"391","Zweigelt","Winzer Krems","","","Niederösterreich","Rosé","Austria"
"392","Cabernet Franc","Wölffer","Long Island","Long Island","New York","Caya","US"
"393","Zinfandel","Dunbar","Sonoma Valley","Sonoma","California","Estate Grown","US"
"394","Grüner Veltliner","Eschenhof Holzer","","","Wagram","Altweingarten","Austria"
"395","Nerello Mascalese","Fattorie Romeo del Castello","Etna","","Sicily & Sardinia","Vigorosa Rosato","Italy"
"396","Cabernet Sauvignon","Flying Cloud","Paso Robles","Central Coast","California","","US"
"397","Melon","Gadais Père et Fils","Muscadet Sèvre et Maine","","Loire Valley","Domaine de la Vieille Cure Sur Lie","France"
"398","Rhône-style White Blend","André Brunel","Côtes du Rhône","","Rhône Valley","Domaine de la Becassonne","France"
"399","Chardonnay","Majolini","Franciacorta","","Lombardy","Pas Dosé Aligi Sassu","Italy"
"400","Champagne Blend","Montaudon","Champagne","","Champagne","Classe M","France"
"401","Sangiovese","Montemercurio","Vino Nobile di Montepulciano","","Tuscany","Messaggero","Italy"
"402","Chardonnay","Patrick Javillier","Meursault","","Burgundy","Les Tillets","France"
"403","Champagne Blend","Philippe Fontaine","Champagne","","Champagne","Brut Prestige","France"
"404","Vidal","Pillitteri","Niagara-On-The-Lake","","Ontario","Reserve Icewine","Canada"
"405","Sparkling Blend","Roederer Estate","Anderson Valley","","California","Brut","US"
"406","Pinot Noir","Rusack","Santa Maria Valley","Central Coast","California","Solomon Hills Vineyard","US"
"407","Sparkling Blend","Bellavista","Franciacorta","","Lombardy","Gran Cuvée Pas Operé","Italy"
"408","Champagne Blend","Chanoine","Champagne","","Champagne","Tzarina No 1 Brut","France"
"409","Pinot Noir","Chehalem","Ribbon Ridge","Willamette Valley","Oregon","Ridgecrest Vineyards","US"
"410","Chardonnay","Henri de Villamont","Meursault","","Burgundy","Blagny Premier Cru","France"
"411","Champagne Blend","Vollereaux","Champagne","","Champagne","Cuvée Marguerite Brut","France"
"412","Riesling","Wittmann","","","Rheinhessen","Westhofen Morstein GG Trocken","Germany"
"413","Red Blend","Valentina Cubi","Amarone della Valpolicella","","Veneto","Morar","Italy"
"414","Chardonnay","Deutz","Champagne","","Champagne","Blanc de Blancs Brut","France"
"415","Pinot Noir","Domaine Serene","Willamette Valley","Willamette Valley","Oregon","Evenstad Reserve","US"
"416","Riesling","Dr. Loosen","","","Mosel","Ürziger Würzgarten Alte Reben GG Trocken","Germany"
"417","Champagne Blend","H. Blin","Champagne","","Champagne","Édition Limitée Extra Brut","France"
"418","Champagne Blend","Jeaunaux-Robin","Champagne","","Champagne","Les Grands Nots Millesimé Brut","France"
"419","Cabernet Sauvignon","Bell","Rutherford","Napa","California","Clone 6","US"
"420","Bordeaux-style Red Blend","Château Vray Croix de Gay","Pomerol","","Bordeaux","","France"
"421","Champagne Blend","Dampierre","Champagne","","Champagne","Grand Cru Family Reserve Brut","France"
"422","Cannonau","Santa Maria La Palma","Cannonau di Sardegna","","Sicily & Sardinia","Riserva","Italy"
"423","Bordeaux-style Red Blend","Sparkman","Red Mountain","Columbia Valley","Washington","Stella Mae","US"
"424","Cannonau","Argiolas","Isola dei Nuraghi","","Sicily & Sardinia","Costera","Italy"
"425","Pinot Noir","Babcock","Sta. Rita Hills","Central Coast","California","Ocean's Ghost","US"
"426","Chenin Blanc","Cape View","","","Stellenbosch","","South Africa"
"427","Chenin Blanc","Ken Forrester","","","Western Cape","Petit","South Africa"
"428","Rhône-style Red Blend","Louis Bernard","Côtes du Rhône Villages","","Rhône Valley","","France"
"429","Cabernet Sauvignon","Lyeth","Sonoma County","Sonoma","California","L de Lyeth","US"
"430","White Blend","Marco Cecchini","Colli Orientali del Friuli","","Northeastern Italy","Tovè","Italy"
"431","Pinot Grigio","Vigneti Le Monde","Friuli Grave","","Northeastern Italy","","Italy"
"432","Sparkling Blend","V&N; Cellars","Cava","","Catalonia","Reserva Brut","Spain"
"433","Sangiovese","Zerba Cellars","Walla Walla Valley (WA)","Columbia Valley","Washington","","US"
"434","Red Blend","Insania","Red Mountain","Columbia Valley","Washington","","US"
"435","Chardonnay","Knapp","Finger Lakes","Finger Lakes","New York","","US"
"436","Chardonnay","Lava Cap","El Dorado","Sierra Foothills","California","Battonage","US"
"437","Verdejo","Loess","Rueda","","Northern Spain","Collection Blanco","Spain"
"438","Cabernet Franc","MICA Cellars","Suisun Valley","North Coast","California","Babcock Vineyard","US"
"439","Pinot Noir","Michael Pozzan","Carneros","Napa-Sonoma","California","Annabella","US"
"440","Rosé","Domaine du Grand Cros","Côtes de Provence","","Provence","L'Esprit de Provence","France"
"441","Rosé","El Coto","Rioja","","Northern Spain","Rosado","Spain"
"442","Verdelho","Fenestra","Lodi","Central Valley","California","Silvaspoons Vineyard","US"
"443","Moscato","Gunter Triebaumer","","","Österreichischer Sekt","Muscato","Austria"
"444","Sauvignon Blanc","Hanna","Russian River Valley","Sonoma","California","","US"
"445","Rhône-style Red Blend","Alain Jaume et Fils","Côtes du Rhône","","Rhône Valley","Réserve Grand Veneur","France"
"446","Tempranillo","Aleo","Vino de la Tierra de Castilla y León","","Northern Spain","","Spain"
"447","White Blend","Altùris","Venezia Giulia","","Northeastern Italy","","Italy"
"448","Syrah","Camaraderie","Wahluke Slope","Columbia Valley","Washington","Clifton Vineyard","US"
"449","Champagne Blend","Boude Baudin","Champagne","","Champagne","Cuvée St Clément","France"
"450","Cabernet Sauvignon","Conn Creek","Chiles Valley","Napa","California","El Adobo Ranch Vineyard","US"
"451","Pinot Noir","D.R. Stephens","Sonoma Coast","Sonoma","California","Silver Eagle Vineyard","US"
"452","Pinot Noir","Davis Family","Russian River Valley","Sonoma","California","Soul Patch Estate Grown","US"
"453","Pinot Noir","Domaine Jeannin-Naltet","Mercurey","","Burgundy","Le Clos l'Evêque Premier Cru","France"
"454","Marsanne","Qupé","Edna Valley","Central Coast","California","Doux Sawyer Lindquist Vineyard","US"
"455","Pinot Noir","Rex Hill","Willamette Valley","Willamette Valley","Oregon","Sims Vineyard","US"
"456","Pinot Noir","Ruby","Chehalem Mountains","Willamette Valley","Oregon","Steve's Reserve","US"
"457","Syrah","Structure","Horse Heaven Hills","Columbia Valley","Washington","Wallula","US"
"458","Pinot Noir","Tumwater","Dundee Hills","Willamette Valley","Oregon","Prince Hill Vineyard Reserve","US"
"459","Pinot Noir","Joseph Jewell","Russian River Valley","Sonoma","California","Bucher Vineyard","US"
"460","Cabernet Sauvignon","Le Vigne","Paso Robles","Central Coast","California","Di Domenico","US"
"461","Riesling","Maximin Grünhäuser","","","Mosel","Trocken","Germany"
"462","Bordeaux-style Red Blend","Northstar","Walla Walla Valley (WA)","Columbia Valley","Washington","","US"
"463","Cabernet Sauvignon","Padis","Napa Valley","Napa","California","","US"
"464","Pinot Noir","Paul O'Brien","Umpqua Valley","Southern Oregon","Oregon","Bradley Vineyard","US"
"465","Pinot Noir","Flying Goat Cellars","Santa Maria Valley","Central Coast","California","Bien Nacido Vineyard","US"
"466","Kerner","Abbazia di Novacella","Alto Adige Valle Isarco","","Northeastern Italy","Praepositus Passito","Italy"
"467","Cabernet Sauvignon","Midsummer Cellars","Napa Valley","Napa","California","Cañon Creek Vineyard","US"
"468","Cabernet Sauvignon","Les Belles Collines","Napa Valley","Napa","California","Les Sommets","US"
"469","Chardonnay","Lutum","Sonoma Coast","Sonoma","California","Gap's Crown Vineyard","US"
"470","Sangiovese","Turiya","Ballard Canyon","Central Coast","California","Stolpman Vineyard","US"
"471","Pinot Noir","Iron Horse","Green Valley","Sonoma","California","Thomas Road","US"
"472","Nebbiolo","Brandini","Barolo","","Piedmont","Resa 56","Italy"
"473","Chardonnay","Artesa","Carneros","Napa-Sonoma","California","Estate Reserve","US"
"474","Zinfandel","Carlisle","Sonoma Valley","Sonoma","California","Pagani Ranch","US"
"475","Rosé","Château Vignelaure","Coteaux d'Aix-en-Provence","","Provence","","France"
"476","Malbec","Clos d'Argentine","Mendoza","","Mendoza Province","Winemaker's Selection Reserva","Argentina"
"477","Rosé","Mas de Cadenet","Côtes de Provence Sainte-Victoire","","Provence","Mas Negrel Cadenet","France"
"478","Cabernet Sauvignon","Passing Time","Horse Heaven Hills","Columbia Valley","Washington","","US"
"479","Tempranillo","Resalte","Ribera del Duero","","Northern Spain","Gran Resalte","Spain"
"480","Pinot Noir","Sanctuary","Santa Maria Valley","Central Coast","California","Bien Nacido Vineyard","US"
"481","White Blend","Terre Rouge","Sierra Foothills","Sierra Foothills","California","Enigma","US"
"482","Syrah-Grenache","Limerick Lane","Russian River Valley","Sonoma","California","Hail Mary","US"
"483","Pinot Noir","Loring Wine Company","Sonoma Coast","Sonoma","California","Durell Vineyard","US"
"484","Petite Sirah","Eighty Four","Napa Valley","Napa","California","","US"
"485","Syrah","Four Lanterns","Paso Robles","Central Coast","California","Fire Light","US"
"486","Cabernet Sauvignon","World's End","Napa Valley","Napa","California","If Six Was Nine Reserve","US"
"487","Malbec","Benegas","Mendoza","","Mendoza Province","Benegas Lynch La Encerrada Estate Vineyard","Argentina"
"488","Cabernet Sauvignon","W.H. Smith","Howell Mountain","Napa","California","Reserve","US"
"489","Chardonnay","Alleromb","Columbia Valley (WA)","Columbia Valley","Washington","La Reyna Blanca Vineyard","US"
"490","Syrah","Ardor","Yakima Valley","Columbia Valley","Washington","Art Den Hoed Vineyard","US"
"491","Albariño","Berryessa Gap","Yolo County","Central Valley","California","","US"
